Companies,Keywords,Search,Search Engine,Title,Link,Time Stamp,Media name
Tata,Merger,Tata Merger,Bing,"Tata Sons invests ₹10,000 crore in arms in FY24",https://www.thehindubusinessline.com/companies/tata-sons-invests-10000-crore-in-arms-in-fy24/article68618832.ece,2024-09-08T14:42:01.000Z,Business Line
Tata,Merger,Tata Merger,Bing,"Tata Consumer Products completes merger of subsidiaries to simplify, streamline business",https://www.moneycontrol.com/news/business/tata-consumer-products-completes-merger-of-subsidiaries-to-simplify-streamline-business-12811721.html,,moneycontrol.com
Tata,Merger,Tata Merger,Bing,Tata Consumer Products completes merger of three subsidiaries in India,https://www.business-standard.com/companies/news/tata-consumer-products-completes-merger-of-three-subsidiaries-in-india-124090100552_1.html,,Business Standard
Tata,Merger,Tata Merger,Bing,Tata group's financial services business make hefty profits in FY24,https://www.business-standard.com/companies/news/tata-group-s-financial-services-business-make-hefty-profits-in-fy24-124090800510_1.html,,Business Standard
Tata,Merger,Tata Merger,Bing,Tata Consumer Products completes merger of three wholly-owned subsidiaries,https://www.financialexpress.com/business/industry/tata-consumer-products-completes-merger-of-three-wholly-owned-subsidiaries/3598324/,,The Financial Express
Tata,Merger,Tata Merger,Bing,"Hot stocks: Brokerage view on Tata Tech, Zomato and Shriram Finance",https://www.msn.com/en-in/money/markets/hot-stocks-brokerage-view-on-tata-tech-zomato-and-shriram-finance/ar-AA1qe76l?ocid=BingNewsVerp,,The Economic Times on MSN
Tata,Merger,Tata Merger,Bing,Tata Consumer Products Completes Subsidiary Merger,https://money.rediff.com/news/market/tata-consumer-products-completes-subsidiary-merger/15100620240901,,money.rediff
Tata,Merger,Tata Merger,Bing,Air India Cuts Losses by 60% in FY24: Tata Group Report,https://money.rediff.com/news/market/air-india-cuts-losses-by-60-in-fy24-tata-group-report/15392820240907,,money.rediff
Tata,Merger,Tata Merger,Bing,Air India Express Targets AIX Connect Merger in October; Hamish Maxwell to Lead,https://www.goodreturns.in/news/air-india-express-merger-aix-connect-maxwell-coo-011-1374891.html,,Goodreturns
Tata,Merger,Tata Merger,Bing,"Tata Motors DVR shares owners alert! Stocks to be cancelled from this date - Why, and what lies ahead",https://www.msn.com/en-in/autos/news/tata-motors-dvr-shares-owners-alert-stocks-to-be-cancelled-from-this-date-why-and-what-lies-ahead/ar-AA1pCQrA?ocid=BingNewsVerp,,ET Now on MSN
Tata,Merger,Tata Merger,Bing,Will Vistara legacy disappear with its merger? Depends on whether Air India is ready to evolve,https://www.msn.com/en-in/news/other/will-vistara-legacy-disappear-with-its-merger-depends-on-whether-air-india-is-ready-to-evolve/ar-AA1q2CA9?ocid=BingNewsVerp,,ThePrint on MSN
Tata,Merger,Tata Merger,Bing,"Stocks To Buy Today, Brokerages Recommendation: Tata Tech, Shriram Finance, MCX, Max Financial Services, Dabur India and more",https://www.msn.com/en-in/money/markets/stocks-to-buy-today-brokerages-recommendation-tata-tech-shriram-finance-mcx-max-financial-services-dabur-india-and-more/ar-AA1qdUEW?ocid=BingNewsVerp,,ET Now on MSN
Tata,Merger,Tata Merger,Bing,Tata Consumer Products completes merger of subsidiaries,https://brandequity.economictimes.indiatimes.com/news/business-of-brands/tata-consumer-products-completes-merger-of-subsidiaries/112980265,,brandequity.economictimes.indiatimes
Tata,Merger,Tata Merger,Bing,Tata Motors DVR shares update: Allotment of new ordinary shares to TML Securities Trust approved,https://www.businesstoday.in/markets/stocks/story/tata-motors-dvr-shares-update-allotment-of-new-ordinary-shares-to-tml-securities-trust-approved-443925-2024-09-02,2024-09-02T10:14:52+05:30,Business Today
Tata,Merger,Tata Merger,Bing,"Vistara to end services in November as merger with Air India gets key nod: Looking back at airline’s 3,595-day journey",https://www.livemint.com/news/vistara-to-end-services-vistara-air-india-merger-tata-group-fdi-singapore-airlines-aviation-air-traffic-11725017269193.html,2024-08-30T17:31:30+05:30,Mint
Tata,Merger,Tata Merger,Bing,Tata’s BigBasket set to merge subscription app BBdaily into main app,https://www.moneycontrol.com/news/business/startup/tatas-bigbasket-set-to-merge-subscription-app-bbdaily-into-main-app-12814928.html,,moneycontrol.com
Tata,Merger,Tata Merger,Bing,Air India Express aims AIX Connect merger in October; Maxwell to be COO of new entity,https://www.zeebiz.com/economy-infra/aviation/news-air-india-express-aims-aix-connect-merger-in-october-maxwell-to-be-coo-of-new-entity-313416,2024-09-06T19:41:21+05:30,Zee Business
Reliance,lawsuit,Reliance lawsuit,Bing,Nykaa sues former chief business officer Gopal Asthana over alleged data misuse and breach of confidentiality,https://www.livemint.com/companies/nykaa-sues-former-chief-business-officer-gopal-asthana-data-misuse-and-breach-of-confidentiality-myntra-amazon-tata-cliq-11725529314736.html,2024-09-05T16:15:31+05:30,Mint
Reliance,lawsuit,Reliance lawsuit,Bing,BSNL Warns Users About Fake Website Scamming For Tower Installations: How To Spot It,https://www.timesnownews.com/technology-science/bsnl-warns-users-about-fake-website-scamming-for-tower-installations-how-to-spot-it-article-113097243,2024-09-05T17:44:51+05:30,timesnownews
Reliance,lawsuit,Reliance lawsuit,Bing,Tata Cliq CEO Faces Lawsuit From Nykaa For Breaching Confidentiality: Report,https://inc42.com/buzz/tata-cliq-ceo-faces-lawsuit-from-nykaa-for-breaching-confidentiality-report/,,inc42
Reliance,lawsuit,Reliance lawsuit,Bing,Nykaa Files Lawsuit Against Former CBO and Current Tata Cliq CEO Asthana for Contract Violation,https://www.outlookbusiness.com/start-up/news/nykaa-files-lawsuit-against-former-cbo-and-current-tata-cliq-ceo-asthana-for-contract-violation,2024-09-05T08:29:58.160+05:30,Outlook Business
Reliance,lawsuit,Reliance lawsuit,Bing,Carlsen-Niemann gearing up for explosive face-off,https://www.rediff.com/sports/report/carlsen-niemann-gearing-up-for-explosive-face-off/20240906.htm,,rediff.com
Reliance,lawsuit,Reliance lawsuit,Bing,"NAR, Move named in new lawsuit alleging sale of fake leads",https://www.housingwire.com/articles/nar-move-named-in-new-lawsuit-alleging-sale-of-fake-leads/,,HousingWire
Reliance,lawsuit,Reliance lawsuit,Bing,Merging Content Creation With Digital Screening: Mukesh Ambani Hails Reliance-Disney Merger,https://www.msn.com/en-in/money/topstories/merging-content-creation-with-digital-screening-mukesh-ambani-hails-reliance-disney-merger/vi-AA1pDGLt?ocid=BingNewsVerp,,CNBCTV18 on MSN
Reliance,lawsuit,Reliance lawsuit,Bing,Judge Dismisses Lawsuit Over Smoking In New Jersey Casinos,https://www.cardplayer.com/poker-news/29309-judge-dismisses-lawsuit-over-smoking-in-new-jersey-casinos,,Card Player
Reliance,lawsuit,Reliance lawsuit,Bing,Judge drops sexual assault suit brought by 2 women against Brandon McManus,https://www.espn.in/nfl/story/_/id/41112576/judge-drops-sexual-assault-suit-brought-2-women-brandon-mcmanus,,ESPN
Reliance,lawsuit,Reliance lawsuit,Bing,Mom-to-be Pranitha Subhash's 'babymoon' VIDEO with husband Nitin Raju is what dreams are made of,https://www.msn.com/en-in/news/other/mom-to-be-pranitha-subhash-s-babymoon-video-with-husband-nitin-raju-is-what-dreams-are-made-of/ar-AA1pJFB2?ocid=BingNewsVerp,,pinkvilla on MSN
Reliance,lawsuit,Reliance lawsuit,Bing,Utah Supreme Court considers reviving teens' lawsuit on climate change,https://www.fox13now.com/news/politics/utah-supreme-court-considers-reviving-teens-lawsuit-on-climate-change,2024-09-04T21:28:01.351,fox13now
Reliance,lawsuit,Reliance lawsuit,Bing,"Hegar: Lawsuit over Texas ESG ban is 'absurd,' 'frivolous,' 'dishonest'",https://justthenews.com/nation/states/center-square/hegar-lawsuit-over-texas-esg-ban-absurd-frivolous-dishonest,,justthenews
Reliance,lawsuit,Reliance lawsuit,Bing,Former staff voice support for Pink News ‘whistleblower’ account threatened with lawsuit,https://pressgazette.co.uk/publishers/digital-journalism/pink-news-twitter-whistleblower-account-lawsuit-threat-former-staff/,2024-09-05T09:58:57+00:00,Press Gazette
Reliance,lawsuit,Reliance lawsuit,Bing,Electric vehicle policy drives up federal lobbying spending in first half of 2024,https://www.opensecrets.org/news/2024/09/ev-electric-vehicle-policy-drives-up-federal-lobbying-spending-in-first-half-of-2024/,,OpenSecrets.org
Reliance,lawsuit,Reliance lawsuit,Bing,Texas Officials Sued Over Anti-ESG Law Targeting Wall Street,https://www.bloomberg.com/news/articles/2024-08-29/texas-officials-sued-over-anti-esg-law-targeting-wall-street,,Bloomberg L.P.
Reliance,lawsuit,Reliance lawsuit,Bing,Texas is sued over anti-ESG law,https://www.msn.com/en-ph/news/us/texas-is-sued-over-anti-esg-law/ar-AA1pFBIb?ocid=BingNewsVerp,,MSN
Reliance,lawsuit,Reliance lawsuit,Bing,Texas anti-ESG law prompts legal filing,https://www.wastetodaymagazine.com/news/texas-anti-esg-law-asbc-lawsuit-fund-plaintiffs-recycling-green-energy/,,Waste Today
Reliance,lawsuit,Reliance lawsuit,Bing,Sexual assault suit vs. ex-Jags kicker Brandon McManus dismissed,https://africa.espn.com/nfl/story/_/id/41112576/judge-drops-sexual-assault-suit-brought-2-women-brandon-mcmanus,,ESPN
Reliance,lawsuit,Reliance lawsuit,Bing,Ohio Attorney General Yost defends lawsuit amid teachers’ pension fund scandal,https://www.yahoo.com/news/ohio-attorney-general-yost-defends-230912713.html,,Yahoo
Reliance,Merger,Reliance Merger,Bing,Reliance Industries merger with Walt Disney gets CCI clearance: 100 questions; biggest 'worry' related to telecast of cricket matches and more,https://www.msn.com/en-in/news/other/bengaluru-intern-quits-after-securing-funding-for-ai-startup-ceo-says-this-happens-only-in/ar-AA1pQeJJ?ocid=BingNewsVerp,,The Times of India on MSN
Reliance,Merger,Reliance Merger,Bing,All about Disney-Reliance merger; a timeline of the $8.5 billion entertainment power merger,https://www.financialexpress.com/business/brandwagon-all-about-disney-reliance-merger-a-timeline-of-the-8-5-billion-entertainment-power-merger-3596903/,,The Financial Express
Reliance,Merger,Reliance Merger,Bing,"National Company Law Tribunal Approves Reliance-Disney Merger, Deems Deal Fair and Legal",https://www.medianama.com/2024/09/223-national-company-law-tribunal-approves-reliance-disney-merger-deems-deal-fair-and-legal/,2024-09-02T12:10:27+00:00,MediaNama
Reliance,Merger,Reliance Merger,Bing,"NCLT Approves ₹70,000 Crore Merger Of Reliance's Viacom18 And Disney's Star India; All You Need To Know",https://www.freepressjournal.in/business/nclt-approves-70000-crore-merger-of-reliances-viacom18-and-disneys-star-india-all-you-need-to-know,,The Free Press Journal
Reliance,Merger,Reliance Merger,Bing,Reliance and Disney merger approved by CCI,https://www.hindustantimes.com/business/reliance-and-disney-merger-approved-by-cci-101724845660425.html,,Hindustan Times
Reliance,Merger,Reliance Merger,Bing,"CCI greenlights Rs 70,350-crore Reliance-Disney India merger",https://www.moneycontrol.com/news/business/cci-clears-8-5-bn-reliance-disney-merger-12809059.html,,moneycontrol.com
